NAV Date,NAV (Rs)
01-11-2022,101.3595
31-10-2022,101.0978
28-10-2022,100.4019
27-10-2022,101.1988
25-10-2022,100.9836
21-10-2022,99.8107
20-10-2022,100.5518
19-10-2022,100.5343
18-10-2022,100.5169
17-10-2022,99.529
14-10-2022,99.5692
13-10-2022,99.7704
12-10-2022,100.1956
11-10-2022,99.811
10-10-2022,101.0998
07-10-2022,101.6316
06-10-2022,101.1513
04-10-2022,99.8459
03-10-2022,98.5542
30-09-2022,99.2356
29-09-2022,97.5094
28-09-2022,97.1906
27-09-2022,97.422
26-09-2022,97.0152
23-09-2022,99.8747
22-09-2022,101.5262
21-09-2022,101.2369
20-09-2022,101.723
19-09-2022,100.4845
16-09-2022,100.7638
15-09-2022,103.107
14-09-2022,103.058
13-09-2022,103.0445
12-09-2022,102.7638
09-09-2022,101.5311
08-09-2022,101.1741
07-09-2022,100.4986
06-09-2022,99.758
05-09-2022,99.6033
02-09-2022,98.7071
01-09-2022,98.7009
30-08-2022,98.0566
29-08-2022,96.7863
26-08-2022,97.0813
25-08-2022,96.3567
24-08-2022,96.3015
23-08-2022,95.6354
22-08-2022,94.7991
19-08-2022,95.6356
18-08-2022,96.3548
17-08-2022,96.0551
16-08-2022,95.65
12-08-2022,95.1915
11-08-2022,95.0861
10-08-2022,94.5997
08-08-2022,94.5668
05-08-2022,94.2702
04-08-2022,94.1877
03-08-2022,94.2398
02-08-2022,94.4625
01-08-2022,94.2734
29-07-2022,93.1519
28-07-2022,92.0497
27-07-2022,91.5212
26-07-2022,91.3472
25-07-2022,92.1774
22-07-2022,92.1222
21-07-2022,92.0259
20-07-2022,91.0946
19-07-2022,90.6444
18-07-2022,89.6026
15-07-2022,88.4773
14-07-2022,88.0409
13-07-2022,88.4469
12-07-2022,88.3619
11-07-2022,88.8315
08-07-2022,88.3659
07-07-2022,87.7502
06-07-2022,86.7766
05-07-2022,86.0526
04-07-2022,85.8618
01-07-2022,85.2
30-06-2022,85.2665
29-06-2022,85.5723
28-06-2022,85.7289
27-06-2022,85.2164
24-06-2022,83.6732
23-06-2022,82.2678
22-06-2022,81.5579
21-06-2022,82.3061
20-06-2022,80.3591
17-06-2022,82.054
16-06-2022,82.6698
15-06-2022,84.8192
14-06-2022,84.1267
13-06-2022,84.0258
10-06-2022,86.436
09-06-2022,87.0174
08-06-2022,86.8341
07-06-2022,87.1957
06-06-2022,87.8011
03-06-2022,88.4882
02-06-2022,89.2892
01-06-2022,88.8005
31-05-2022,87.9753
30-05-2022,87.0891
27-05-2022,85.0806
26-05-2022,83.6924
25-05-2022,82.8762
24-05-2022,85.2233
23-05-2022,86.1384
20-05-2022,86.6421
19-05-2022,85.2296
18-05-2022,87.258
17-05-2022,87.0087
16-05-2022,84.7568
13-05-2022,83.9039
12-05-2022,83.0261
11-05-2022,84.8233
10-05-2022,86.4092
09-05-2022,87.9328
06-05-2022,89.4521
05-05-2022,91.2593
04-05-2022,91.4891
02-05-2022,93.5737
29-04-2022,94.5293
28-04-2022,95.4119
27-04-2022,94.9042
26-04-2022,95.2715
25-04-2022,94.2719
22-04-2022,95.8345
21-04-2022,96.111
20-04-2022,94.7545
19-04-2022,94.6327
18-04-2022,96.0243
13-04-2022,97.0702
12-04-2022,96.4762
11-04-2022,97.5777
08-04-2022,97.5277
07-04-2022,96.4762
06-04-2022,96.8101
05-04-2022,96.3879
04-04-2022,95.455
01-04-2022,94.1589
31-03-2022,92.9545
30-03-2022,92.4379
29-03-2022,91.157
28-03-2022,90.534
25-03-2022,90.849
24-03-2022,91.4078
23-03-2022,91.5816
22-03-2022,91.8017
21-03-2022,91.278
17-03-2022,90.4876
16-03-2022,89.4707
15-03-2022,88.2381
14-03-2022,89.2322
11-03-2022,88.6415
10-03-2022,87.7808
09-03-2022,86.6645
08-03-2022,85.03
07-03-2022,84.0231
04-03-2022,85.591
03-03-2022,87.2041
02-03-2022,87.0627
28-02-2022,87.3533
25-02-2022,87.0849
24-02-2022,83.6577
23-02-2022,88.1148
22-02-2022,87.2866
21-02-2022,88.4796
18-02-2022,89.9651
17-02-2022,90.6393
16-02-2022,91.0311
15-02-2022,90.6879
14-02-2022,88.4636
11-02-2022,92.408
10-02-2022,94.1048
09-02-2022,94.0961
08-02-2022,93.5799
07-02-2022,94.5696
04-02-2022,95.4722
